"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
155;"R19";"Pkg0201_39";1;"0R";;;
156;"C5";"Pkg0201_29";1;"100n";;;
157;"";"dummy96";1;"";;;
158;"C31";"Pkg0201_43";1;"1u";;;
159;"";"dummy65";1;"";;;
160;"";"dummy68";1;"";;;
161;"";"dummy77";1;"";;;
162;"";"dummy29";1;"";;;
163;"";"dummy102";1;"";;;
164;"";"dummy105";1;"";;;
165;"";"dummy52";1;"";;;
166;"";"dummy44";1;"";;;
167;"R6";"Pkg0201_23";1;"196R";;;
168;"C49";"Pkg0201_13";1;"1p";;;
169;"";"dummy83";1;"";;;
170;"";"dummy104";1;"";;;
171;"C22";"Pkg0201_28";1;"10n";;;
172;"";"dummy114";1;"";;;
173;"";"dummy95";1;"";;;
174;"C38";"Pkg0201_21";1;"1u";;;
175;"C9";"Pkg0402_6";1;"10u";;;
176;"";"dummy115";1;"";;;
177;"";"dummy25";1;"";;;
178;"C7";"Pkg0402_2";1;"10u";;;
179;"";"dummy40";1;"";;;
180;"";"dummy69";1;"";;;
181;"C47";"Pkg0201_27";1;"1u";;;
182;"";"dummy1";1;"";;;
183;"";"dummy85";1;"";;;
184;"";"dummy31";1;"";;;
185;"";"dummy108";1;"";;;
186;"";"dummy90";1;"";;;
187;"";"dummy18";1;"";;;
188;"";"dummy89";1;"";;;
189;"";"dummy71";1;"";;;
190;"";"dummy113";1;"";;;
191;"D1";"LP_4";1;"~";;;
192;"";"dummy11";1;"";;;
193;"TP2,TP5,TP4,TP12,TP13,TP11,TP1,TP9,TP3,TP10,TP14,TP8,TP6,TP7";"SMD_TESTPT";14;"~";;;
194;"J6";"GCT_USB3100_XX_X_REVB_1";1;"~";;;
195;"J1";"TC2030_IDC_NL_FOOTPRINT";1;"~";;;
